,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
23UM01z_11,,dark gray to brown under directed light; uniform metamictization; no obvious fractures or inclusions,183.62260687196584,2.386607862431128,1.2997353120551398,11.481016364144725,0.196279161903328,36.486285415925785,0.45067520571054254,1.2351907040496612,2.335933468758913,0.035399558231699636,2.8740923777809853,0.04920126239918861,0,0,0.5948970704567406,0.0018335456246731075,5.061245802666665e-07,4615.332982895551,5678.626349794522,0.0,5949.810175097264
23UM01z_12,,medium gray; uniform damage with one small dark inclusion; bumpy texture,49.00840163858327,0.5773182579743263,1.1779985444777614,57.83310688712654,0.78118455989988,38.320289614719854,0.44911400755108044,1.172000556536931,2.0661326543654908,0.02944124572886155,2.8038454779059303,0.05161529985211995,0,0,0.5655572188635303,0.0016966204909284628,5.927188553066666e-06,348.5856128697804,473.048132820956,0.0,459.75192408270505
23UM01z_13,,"medium to dark gray; fairly uniform damage, meh shape",39.88325520089559,0.4685392775820605,1.17477692134703,61.07084336337953,0.7914178397050057,31.5875529932133,0.3700987591721226,1.1716601132466313,6.387439820730597,0.0894185834751232,9.744815370814823,0.2026275851728089,0,0,1.4840229410285481,0.004292702316494729,7.434046184666666e-06,859.2144388213809,1310.8360008462564,0.0,1167.2608990202511
23UM01z_14,,"very dark, opaque; equant",37.36131262196309,0.5186627667353789,1.3882348620441127,52.9331215969792,0.7678662956493516,28.710906671556973,0.3966189547417445,1.3814226045834452,5.868177072983551,0.08842539528543755,1.9779969238437904,0.03083301265568814,0,0,0.982586770854701,0.0028607563327787385,4.22631693e-06,1388.4848605008785,468.01907112152867,0.0,1498.4693422144378
FCT_AM_z03,,"clear, limited inclusions around edges",27.297626356761484,0.4122562551958719,1.510227482082002,69.6038091358881,0.8197648696281771,22.38777310146659,0.33664288697416805,1.503690811267491,5.217580197759075,0.08847358363820855,2.479555198651298,0.030896112285525506,0,0,0.7015156681737141,0.0020906166477708443,1.2510432687999996e-05,417.05833266372764,198.19899602910513,0.0,463.63509673056734
23UM07z_01,,light gray or straw; beautiful uniform damage; no obvious fractures or inclusions,35.20619983806158,0.47183764456234184,1.3402118000030099,52.3753641544134,0.753630196495004,26.551780439791838,0.35214338680452256,1.3262515016762593,1.4676804837239206,0.030850663552045212,4.922245355287426,0.06766559536980186,0,0,0.37772212271548705,0.0012826426092133075,4.663818736333332e-06,314.69500996897716,1055.4109483159862,0.0,562.7165828232339
23UM07z_02,,light gray to straw; faint uniform metamictization; ,216.04975747580406,4.818569037534328,2.230305228680468,49.69209619717481,0.7525522459627544,163.34132155572527,3.6050930382783744,2.2070918760434215,0.5744461045306799,0.014453919835330406,0.30801649713391666,0.0077390119145334495,0,0,0.577875372210638,0.0012478287925580449,4.266549201599999e-06,134.63951249296665,72.19335406196824,0.0,151.60495069752918
23UM07z_03,,"almost clear, moderate damage, a few small inclusions",280.94648177377553,3.3370835708066537,1.1878004485899734,55.1216086391134,0.7742506889343449,218.69703169899742,2.574731908258895,1.177305374588995,0.603799899229914,0.007976370999003498,0.43052612074213503,0.010128191593393645,0,0,0.8472622379159864,0.0016707925811580814,6.0165332552e-06,100.35677916482199,71.55717461879526,0.0,117.17271520023887
23UM07z_04,,"very dark, nearly opaque, fairly uniform damage; short and equant; sharp tips with rounded edges",44.76917769017002,0.6316027050065363,1.4107980927807335,64.54766439000363,0.8070013479866276,36.15675119172052,0.5079430231769445,1.4048359059794555,5.572257950494872,0.08692803225693198,2.0839413051639384,0.04119963870769617,0,0,1.1853113579945,0.0022544222302057332,7.599412704000001e-06,733.2484979479898,274.22399418668795,0.0,797.6911365818614
23UM07z_05,,"light to medium gray, straw color; uniform damage; possible slight staining ?",52.85871743630466,0.6946149863329074,1.3140973145440507,76.3763375538617,0.8326951238252488,44.049126343795706,0.5755622709348199,1.3066371996635242,4.058262652035973,0.06596009737468599,4.217919603639002,0.06302014926493789,0,0,1.2047581625543429,0.002285889741047974,1.5102980334699998e-05,268.70608066090585,279.27730223868997,0.0,334.336246686998
23UM07z_06,,"medium gray, straw; short, no obvious fractures or inclusions",44.34242410506528,0.5418283267790815,1.2219185976284683,66.27726914070506,0.8046077142488139,35.70423234069425,0.4326336523746955,1.2117153177988849,3.8978414487802033,0.0690052055102625,8.853704914441929,0.11329377560348747,0,0,1.1568497526287882,0.0022160434297535786,8.228333977599999e-06,473.70967918795,1076.0021334263265,0.0,726.5701805431368
