,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
23UM01z_07_re1,zirc,0.007846691,9.55E-05,8227,1283,,1689462403,10000-4332-16454-001.csv
FCT_AM_z02,zirc,1.490665212,0.002252242,8228,1283,,1689463630,10000-4333-16456-001.csv
FCT_AM_z02_re1,zirc,0.042504849,0.00028853,8229,1283,,1689464938,10000-4334-16458-001.csv
23UM01z_06_re1,zirc,0.004720496,7.15E-05,8230,1283,,1689466278,10000-4335-16460-001.csv
std1284,std,1.176611606,0.001941494,8231,1284,,1689466898,10000-4336-16462-001.csv
lb02_07162023,lb,0.003924317,7.95E-05,8233,1284,,1689516658,10000-4338-16466-001.csv
hb01_07162023,hb,0.003951352,6.83E-05,8234,1284,,1689518016,10000-4339-16468-001.csv
std1285,std,1.170261132,0.001541034,8235,1285,,1689518625,10000-4340-16470-001.csv
23UM01z_08,zirc,1.166392061,0.002159666,8236,1285,,1689519839,10000-4341-16472-001.csv
23UM01z_08_re1,zirc,0.871634362,0.00127183,8237,1285,re-extract 43%,1689520940,10000-4342-16474-001.csv
23UM01z_08_re2,zirc,0.039495659,0.000271886,8238,1285,,1689522059,10000-4343-16476-001.csv
23UM01z_09,zirc,1.804453845,0.002030563,8239,1285,,1689523375,10000-4344-16478-001.csv
23UM01z_09_re1,zirc,0.009013846,0.000155904,8240,1285,,1689524528,10000-4345-16480-001.csv
23UM01z_10,zirc,1.770132502,0.002746962,8241,1285,,1689525684,10000-4346-16482-001.csv
23UM01z_10_re1,zirc,0.013412115,0.000225476,8242,1285,,1689526820,10000-4347-16484-001.csv
std1286,std,1.175248126,0.002016446,8243,1286,,1689527348,10000-4348-16486-001.csv
23UM01z_11,zirc,1.940610408,0.003382897,8244,1286,,1689528541,10000-4349-16488-001.csv
23UM01z_11_re1,zirc,0.192073675,0.0005683,8245,1286,re-extract 9%,1689529739,10000-4350-16490-001.csv
23UM01z_11_re2,zirc,0.10178005,0.000354942,8246,1286,re-extract 4.4%,1689530871,10000-4351-16492-001.csv
23UM01z_11_re3,zirc,0.092733664,0.000408488,8247,1286,re-extract 3.8%,1689532004,10000-4352-16494-001.csv
