,aliquot_type,intercept,error,QST,QRT,diff_temp,diff_time,cool_time,notes,time_of_collection,file
std1275,std,1.1854933459596584,0.001995185314323371,8183,1275,,,,,1689113343.0277493,10000-4289-16366-001.csv
RS23_G3_330_2,zirc,17.488138031550307,0.028153500525860888,8184,1275,330.0,3600.0,299.0,,1689118144.4022448,10000-4290-16368-001.csv
RS23_G3_310_2,zirc,7.783616015165652,0.015072327988402048,8185,1275,310.0,3600.0,295.0,,1689124186.3057287,10000-4291-16370-001.csv
RS23_G3_290_2,zirc,5.052046952842533,0.0082280903846813,8186,1275,290.0,5400.0,288.0,,1689130972.866294,10000-4292-16372-001.csv
std1276,std,1.1867180777314863,0.0016511459748927255,8187,1276,,,,,1689131932.3350732,10000-4293-16374-001.csv
lb02_07122023,lb,0.003891409856060381,8.428140570673869e-05,8189,1276,,,,,1689178991.894353,10000-4295-16378-001.csv
std1277,std,1.1613481766381224,0.0019956647625106265,8190,1277,,,,,1689179565.0361605,10000-4296-16380-001.csv
RS23_G3_275_2,zirc,2.633963052837717,0.0033334909710441576,8191,1277,275.0,5400.0,309.0,,1689186012.0402186,10000-4297-16382-001.csv
RS23_G3_250_2,zirc,0.8320188120715019,0.0012916228722103633,8192,1277,250.0,5400.0,295.0,,1689193552.4187262,10000-4298-16384-001.csv
RS23_G3_225_2,zirc,0.4819920661618572,0.000951939900153874,8193,1277,225.0,10800.0,288.0,,1689205943.0920115,10000-4299-16386-001.csv
std1278,std,1.1827472924068088,0.0018162823187407927,8194,1278,,,,,1689206642.337687,10000-4300-16388-001.csv
lb02_07132023,lb,0.0038414795704628975,7.526313846694448e-05,8196,1278,,,,,1689266321.3705845,10000-4302-16392-001.csv
std1279,std,1.1651659743876528,0.0023169103905855072,8197,1279,,,,,1689266887.4671009,10000-4303-16394-001.csv
RS23_G3_200_2,zirc,0.16242590701379586,0.0006981003396710693,8198,1279,200.0,14400.0,317.0,,1689282600.259419,10000-4304-16396-001.csv
RS23_G3_175_2,zirc,0.04556209248164822,0.00035525692355265555,8199,1279,175.0,18000.0,293.0,,45171.60843,10000-4305-16398-001.csv
std1280,std,1.189757656452223,0.002961109149872655,8200,1280,,,,,1689307422.249259,10000-4305-16400-001.csv
lb02_07272023,lb,0.0038781049623529016,7.936097798377372e-05,8567,1332,,,,,1690473858.5470946,10000-4671-17134-001.csv
cb01_07272023,hb,0.004470350699663396,9.40858003869231e-05,8568,1332,,7200.0,,,1690481802.4941707,10000-4672-17136-001.csv
std1333,std,1.1798988801926398,0.001981072127431,8569,1333,,,,,1690482431.6631596,10000-4673-17138-001.csv
RS23_G3_190_3,zirc,0.13050285774282627,0.00046273112641302363,8570,1333,190.0,19800.0,299.0,,1690503514.3640218,10000-4674-17140-001.csv
std1334,std,1.183821186847458,0.0016277932603125974,8571,1334,,,,,1690504188.05569,10000-4675-17142-001.csv
lb02_07282023,lb,0.0038260986404013344,0.00010055554982088778,8573,1334,,,,,1690563606.0177946,10000-4677-17146-001.csv
std1335,std,1.1711893517578376,0.0020044889646519447,8574,1335,,,,,1690564149.00181,10000-4678-17148-001.csv
