,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,U_ng_1s_%,Th_ng,Th_ng_1s,Th_ng_1s_%,Sm_ng,Sm_ng_1s,Sm_ng_1s_%,He_pmol,He_pmol_1s,He_pmol_1s_%,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
TAI_APR_z3,,low to mod eu,827.9430071485913,16.50259603684033,1.9932043503422696,38.78118180381244,0.6855754040510734,580.0187026926535,11.235539763317679,1.9370995644034061,0.1436386068956171,0.0032230387901181516,2.243852721615679,0.16586127330935213,0.004995823775067291,3.0120495733500436,0,0,0,0.5996789682525296,0.0021033316475333173,0.3507429406207868,1.8238219364666662e-06,78.75692468854258,90.94159358050004,0.0,100.12819917996009
TAI_APR_z4,,low eu,1324.1895688438688,23.807183493904024,1.7978682247655629,40.90235540376556,0.6972177417127692,953.9157038139317,16.500311771390738,1.72974527051179,0.08466856657831832,0.0017306892068491364,2.0440752416048653,0.14818488829558552,0.003652847450102258,2.465060703636592,0,0,0,0.6638806952822949,0.0023226027118400123,0.34985242504338776,2.173181128e-06,38.96065794397895,68.18800623027751,0.0,54.98483940809416
TAI_APR_z5,,low to mod eu,1057.3735038574514,29.23989795860043,2.765332954904682,57.48912887534822,0.7784866112066575,838.6723284237486,22.664290471870064,2.70240112899238,0.10457871774200715,0.00343262114507901,3.282332408728889,0.1825477683355845,0.0071178582508280115,3.899175714787694,0,0,0,0.7134459897963104,0.0024807082621407495,0.3477079271058759,6.202433003066666e-06,16.860918560555245,29.431638881923835,0.0,23.777353697807346
TAI_FCT_z16,,,25.206850182472582,0.42536184629282303,1.687485120963648,37.63976396062647,0.6819150531345114,17.201774904062567,0.2888069104713903,1.678936691603739,1.0616223154664648,0.01601109408268711,1.508172336755376,0.49131081653694936,0.009507962213794768,1.9352234662392613,0,0,0,0.10933306405250229,0.001128717494078598,1.0323661043072772,1.9272495861333328e-06,550.8483816029309,254.92848465085055,0.0,610.7565754958807
TAI_APR_z6,,low eu,807.4082696192216,19.048334958287004,2.3591949296321064,46.27065553223395,0.7276964025950504,597.3995718144927,13.783895468001058,2.3073159269490233,0.05666608993565916,0.0016746842188580674,2.9553551705430317,0.12208559054069092,0.003907063210632078,3.200265644232487,0,0,0,0.28797246284933364,0.0011820713904794487,0.4104807031837294,2.973344510133332e-06,19.058030356905434,41.060021845640854,0.0,28.707135490631032
TAI_APR_z7,,mod-high eu,867.4813544228541,18.399887982890032,2.121070140479469,36.47365058635066,0.6613529259168299,586.3482912465281,12.181852419123548,2.0775795889548743,0.04512772671050404,0.0011071997348302241,2.453479967942878,0.11045135077309161,0.003757204990491578,3.4016831520786766,0,0,0,0.23496834637640654,0.0009976505529871048,0.42458934080802646,1.5323426159999995e-06,29.45015444933893,72.0800620042872,0.0,46.38896902034642
TAI_MRM8_z1,,low-mod eu,1021.4045280626574,17.582298552776813,1.7213844338565765,42.336105002493206,0.7141298741212544,748.9642588072463,12.480087857930023,1.6663128729006418,0.6554082046571457,0.011353350109884279,1.7322563295989553,0.2882485838707975,0.005055648063094499,1.7539194799168922,0,0,0,3.128115424486822,0.010678470779688328,0.34137074022580766,2.3429107933333334e-06,279.74099847168134,123.03011480035784,0.0,308.6530754497654
TAI_MRM8_z2,,mod eu,677.5617256826683,11.655064738480947,1.7201480391676554,40.15293347531767,0.69933417005819,482.3876688391437,8.091799764602458,1.6774474737455896,1.2146607960915592,0.02219087203126262,1.8269192603125646,0.6518946293644473,0.011191830773466254,1.7168159192195713,0,0,0,3.7138257100938854,0.012677183332690335,0.3413510574347835,2.8252955647999996e-06,429.9234427805942,230.73502025286137,0.0,484.1461725400166
TAI_MRM8_z3,,mod-high eu,622.4174596438206,9.329769410924595,1.4989568924148706,39.605625643247265,0.695739605915011,440.29056700285014,6.4447563792258356,1.4637507278651547,4.9404916671859835,0.07822562343684744,1.5833570564729516,2.5514211240935936,0.03711184272719231,1.4545557523506236,0,0,0,13.677282913259162,0.04663553506036398,0.3409707568098494,3.6180947210666665e-06,1365.495391378105,705.183617564716,0.0,1531.2135415058133
TAI_MRM8_z4,,low-mod eu,314.42537293766503,5.017633045057606,1.5958104774363595,48.303716299371175,0.7462597401954605,236.27369372009488,3.721832011264468,1.575220648843621,4.525374583040467,0.08046777947276937,1.7781462726717625,2.246948621452721,0.031995789470437005,1.423966225349236,0,0,0,6.572959430059176,0.008757670980552247,0.13323786756543854,6.502833239999999e-06,695.9081397327155,345.5337909684305,0.0,777.1085806102967
TAI_MRM8_z5,,low-mod eu,696.5935341871044,11.476438050761674,1.6475085523373683,46.80071523873199,0.7372574400808378,521.7182774831962,8.400054736554374,1.6100748428973581,1.9225344093631942,0.03541561173867855,1.8421314888407825,1.4076464613841362,0.0256715234439434,1.8237195310177983,0,0,0,6.634613074048671,0.00883996459698235,0.13324009250154956,5.628352079999998e-06,341.5803386207486,250.09921934097213,0.0,400.35365516587706
TAI_FCT_z17,,,28.46949330651419,0.4596970028994756,1.614700331861161,57.65505288509161,0.7846827601376672,22.352131934685914,0.35891892764060235,1.6057480722169233,2.579438204861271,0.047489332280655806,1.8410726875005679,1.287083394223626,0.01806745238935327,1.4037514950809875,0,0,0,0.3480107842707239,0.0006980986958111165,0.2005968571560279,6.257665832499998e-06,412.20453023627834,205.68106841675564,0.0,460.5395813142159
TAI_MRM8_z6,,low-mod eu,514.369261208384,6.574196606312112,1.278108375074291,42.99057614942851,0.7184257175192192,374.2971509859329,4.695762397229686,1.254554672633927,1.2903279096518048,0.017595930740673886,1.3636790004350252,0.510055792741363,0.007487760701159658,1.468027774160879,0,0,0,2.9429859292121625,0.003939992674266186,0.13387738742335484,3.2491386999999993e-06,397.1292175528872,156.98184652485384,0.0,434.01995148622785
TAI_MRM17_z1,,mod-high eu,7.61180345730573,0.09276532741003382,1.218703661101478,39.07128283956962,0.6956542295849647,5.296212039059612,0.06433905087128662,1.2148125942991999,13.184850749036327,0.1605796773900228,1.2179104674488597,1.115401714176698,0.0188068526981809,1.6861057732964524,0,0,0,0.3838465652304345,0.0015096195518594464,0.39328723729836607,2.9857535866666673e-06,4415.920593017208,373.5746041326694,0.0,4503.7106249883855
TAI_MRM17_z2,,mod-high eu,388.55776583861683,5.342168981486638,1.374871242106495,31.4979708191642,0.6308191374187913,248.30629696788483,3.354210566828828,1.3508358860760794,3.501806886426884,0.04780507638178215,1.3651545596953436,0.4594816462974441,0.007122866649004164,1.5501961191270734,0,0,0,4.942156865124192,0.017036434599964446,0.3447165896369487,1.2515358613333335e-06,2798.0076277608273,367.1342232318711,0.0,2884.284170220317
TAI_MRM16_z1,,"mod -high eu,",327.1708939513436,4.048629815928501,1.2374663794300136,62.143028927318255,0.8003879096969078,263.38434230523217,3.230698048822621,1.2266097599221042,5.825420669805826,0.07409013869397484,1.271841861618629,1.7646289843179623,0.030539646004401264,1.730655354513798,0,0,0,9.072465636514698,0.03126657515092952,0.34463150816563426,8.048635686e-06,723.7774073857896,219.24572724634592,0.0,775.3001532886809
TAI_MRM16_z2,,"mod -high eu,",99.17689449142152,1.6521258727973474,1.6658374727999283,57.29931822366546,0.7831165131321589,77.8125757202133,1.287363415283453,1.6544413333808146,11.425506466379044,0.21431237070133496,1.8757362864567573,6.341070131755908,0.11067973596510992,1.7454425462167467,0,0,0,5.456069459444626,0.0188086881247716,0.344729631185563,6.722319618e-06,1699.6374935499305,943.2860221011747,0.0,1921.3097087437066
TAI_MRM4_z5,,mod eu,1712.5574634595075,25.20489240319404,1.4717691488306661,43.415043837172476,0.7191082281702524,1288.3779008291501,18.007094608868464,1.3976562775005528,2.5279430533196354,0.035530171677404854,1.4054973125580288,1.6509215386309575,0.02696135453364305,1.633109381806298,0,0,0,22.848901808553542,0.07873343050417476,0.34458299643399365,4.0414800888e-06,625.4993214800757,408.49428980389973,0.0,721.495479583992
TAI_MG_G1_z1,,low eu,120.14933398505592,1.6235526085484293,1.3512789082545937,56.69429701619725,0.7808136995792889,94.02827066630205,1.2618911081653303,1.3420337300934413,4.210473609811318,0.06307896613361041,1.4981441989476605,2.4434395193236917,0.044857199659784644,1.8358219757450949,0,0,0,2.445928205698973,0.008443292922186093,0.3451979049308707,5.768035787333333e-06,729.9666238301714,423.61726060880386,0.0,829.5166800732403
TAI_MG_G1_z2,,low eu,545.6098585682413,7.925461320725797,1.4525876313018513,38.39980751726434,0.688672222214157,381.47917078629143,5.4288165535502975,1.4230964543517834,0.9573906214252309,0.014181044355275632,1.4812182235673932,0.3149849720558474,0.006741412505820621,2.140233059952256,0,0,0,2.1957315048686836,0.007586017590664585,0.34548930840787245,1.95762591e-06,489.05698301941203,160.90151363793885,0.0,526.8688387243277
TAI_MG_G1_z3,,low eu,368.7247650283167,4.721254809453944,1.2804279118847275,59.05894494455703,0.790256997560331,293.3819531614399,3.718116072438535,1.2673295110257035,5.207990577892449,0.06919519940535111,1.3286352648002058,1.8913915837512085,0.034432548191915095,1.8204875440771928,0,0,0,9.178379803241558,0.03163434076017615,0.34466149187903233,9.812442896000001e-06,530.7537208716357,192.75440415782964,0.0,576.0510058487256
TAI_LRA_67_z5,,low eu,1080.9712092953323,19.118110641965284,1.7686049801851864,54.84755698228053,0.7748387551591664,856.3599281658873,14.747820558258821,1.7221521083833329,0.9309276909307794,0.016452889204924735,1.7673648947400489,0.39942829685149694,0.0076365388578384045,1.9118672657980427,0,0,0,5.122880925654973,0.01766660824066183,0.3448568978480231,6.020834705999999e-06,154.6177127239639,66.34101687818318,0.0,170.20785169033695
TAI_MA5_z4,,low eu,269.2026871497007,3.64093519325815,1.3524884286290446,56.444733919202264,0.7813500767775857,211.4361306233501,2.835523811849898,1.3410781797275073,0.982282444869704,0.01385916313253361,1.4109142645190993,0.3306163386844007,0.008081224784597428,2.444290810537223,0,0,0,1.2312120233109178,0.004262229215265909,0.34618157836081886,3.840301244282921e-06,255.7826541165315,86.09125109041672,0.0,276.0140981227794
