,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
RS23_G168_410_5,zirc,10.776412959220199,0.012914875197734429,7710,1182,,1682552784.4107947,10000-3817-15420-001.csv
RS23_G168_430_5,zirc,18.64611233998653,0.028666945499352437,7711,1182,,1682565328.0266645,10000-3818-15422-001.csv
std1183,std,1.1711293389968052,0.002012098461755235,7712,1183,,1682566310.735128,10000-3819-15424-001.csv
lb02_04272023,lb,0.003896561585542658,8.539998569763106e-05,7714,1183,,1682608089.6029248,10000-3821-15428-001.csv
std1185,std,1.1652440408633682,0.0018007909616334,7716,1185,,1682611411.9403172,10000-3823-15432-001.csv
RS23_G168_450_5,zirc,32.05246487195746,0.03602434924361484,7717,1185,,1682625328.7460597,10000-3824-15434-001.csv
RS23_G168_470_5,zirc,43.5362133669512,0.06324994675350798,7718,1185,,1682638192.7543678,10000-3825-15436-001.csv
RS23_G168_490_5,zirc,61.398448229741156,0.10970065212823422,7719,1185,,1682651053.6320386,10000-3826-15438-001.csv
std1186,std,1.1785619032937742,0.0020802056232247608,7720,1186,,1682652828.9493268,10000-3827-15440-001.csv
lb02_04282023,lb,0.004023346362034469,5.99561538185696e-05,7722,1186,,1682699008.6905534,10000-3829-15444-001.csv
std1187,std,1.1572996291628426,0.0022048500881667946,7723,1187,,1682699535.2344525,10000-3830-15446-001.csv
RS23_G168_500_5,zirc,65.23353338697589,0.10147407607423783,7724,1187,,1682711924.1077368,10000-3831-15448-001.csv
RS23_G168_480_6,zirc,30.78591415562769,0.04066597767812248,7725,1187,,1682722927.747434,10000-3832_15450-001.csv
RS23_G168_460_6,zirc,16.47650989375024,0.020744431057188414,7726,1187,,1682737640.2544518,10000-3833-15452-001.csv
std1188,std,1.1675322203473095,0.001976731641162577,7727,1188,,1682738360.7914214,10000-3834-15454-001.csv
lb02_04292023,lb,0.004062357227141525,7.233784696460206e-05,7729,1188,,1682797045.6648405,10000-3836-15458-001.csv
std1189,std,1.1651485743222854,0.002524326773638073,7730,1189,,1682797870.6183345,10000-3837-15460-001.csv
RS23_G168_440_6,zirc,8.889494703199512,0.011083672888229078,7731,1189,,1682808473.2474008,10000-3838-15462-001.csv
RS23_G168_420_6,zirc,4.8340094795587705,0.008332963055476744,7732,1189,,1682819109.482391,10000-3839-15464-001.csv
RS23_G168_400_6,zirc,2.4301537561336324,0.004856174652390622,7733,1189,,1682829680.5742087,10000-3840_15466-001.csv
std1190,std,1.1701821103017815,0.00160692724340967,7734,1190,,1682830571.3068414,10000-3841-15468-001.csv
lb02_04302023,lb,0.00409540674062978,9.842550294253536e-05,7736,1190,,1682891287.1225832,10000-3843-15472-001.csv
std1191,std,1.1620104029583471,0.0016013388468270786,7737,1191,,1682891950.3483756,10000-3844-15474-001.csv
RS23_G168_375_6,zirc,1.1167224118723742,0.0023991745619430013,7738,1191,,1682902177.8604085,10000-3845-15476-001.csv
RS23_G168_350_6,zirc,0.515895876991944,0.0013553714058517682,7739,1191,,1682914512.3181145,10000-3846-15478-001.csv
std1192,std,1.1733329128612122,0.0012567736025760074,7740,1192,,1682915374.4388552,10000-3847-15480-001.csv
lb02_05012023,lb,0.003843531974305144,9.103400311336372e-05,7742,1192,,1682953239.730944,10000-3849-15484-001.csv
std1193,std,1.160099367810227,0.002052475690101536,7743,1193,,1682953750.1690366,10000-3850-15486-001.csv
RS23_G168_350_7,zirc,0.5455483681472734,0.0012686076968712898,7744,1193,,1682965584.6641293,10000-3851-15488-001.csv
std1194,std,1.1710220517844985,0.002624884192764464,7745,1194,,1682966414.1907206,10000-3852-15490-001.csv
lb02_10312023,lb,0.004337064566593104,5.843641367262523e-05,9454,1476,,1698776277.1700265,10000-5553-18908-001.csv
std1477,std,1.1927258691746219,0.002098039934608939,9455,1477,,1698776885.1035898,10000-5554-18910-001.csv
RS23_G168_600_fulldegas_1,zirc,338.53130185344264,0.6069824481105898,9456,1477,h6T did not spit out data,1698776885.0,10000-5555-18912-001.csv
lb05_10312023,lb,0.005963038585943092,7.65510121143901e-05,9459,1477,,1698796056.3204057,10000-5556-18918-001.csv
std1478,std,1.207784390319659,0.002210551211807167,9460,1478,,1698797495.6837254,10000-5557-18920-001.csv
lb02_11012023,lb,0.003842729412478765,9.408641232329932e-05,9462,1478,,1698858440.8172846,10000-5559-18924-001.csv
std1479,std,1.1944470175937196,0.0017749956458762354,9463,1479,,1698859468.1236746,10000-5560-18926-001.csv
RS23_G168_600_fulldegas_2,zirc,147.1971600513757,0.1580325266926839,9464,1479,,1698868307.1689723,10000-5561-18928-001.csv
lb03_11012023,lb,0.004757511414296293,0.00010040768008711381,9465,1479,,1698872289.016683,10000-5562-18930-001.csv
RS23_G168_600_fulldegas_3,zirc,113.80205029765423,0.16491339357127302,9466,1479,,1698880525.3290396,10000-5563-18932-001.csv
std1480,std,1.1959440221793325,0.0022822063066682253,9468,1480,,1698882969.1417456,10000-5565-18936-001.csv
lb02_11022023,lb,0.00374354993237463,8.350058174623592e-05,9470,1480,,1698952502.0977385,10000-5567-18940-001.csv
std1481,std,1.192966327949599,0.0023014106968396748,9471,1481,,1698953086.122868,10000-5568-18942-001.csv
RS23_G168_600_fulldegas_4,zirc,103.66463893559884,0.16351646568974254,9472,1481,,1698961247.5900445,10000-5569-18944-001.csv
std1482,std,1.1966178607894526,0.002580365689898568,9474,1482,,1698963937.4269643,10000-5571-18948-001.csv
lb02_11032023,lb,0.004065020918014366,9.220036972678392e-05,9476,1482,,1699032812.3179116,10000-5573-18952-001.csv
std1483,std,1.1985489582772337,0.0020046482915939334,9477,1483,,1699033317.5069044,10000-5574-18954-001.csv
RS23_G168_600_fulldegas_5,zirc,78.33852141389272,0.126923692497015,9478,1483,,1699041813.2997391,10000-5575-18956-001.csv
RS23_G168_650_fulldegas_6,zirc,83.14280268807711,0.10287268653912303,9480,1483,,1699048852.0680764,10000-5577-18960-001.csv
std1484,std,1.1922118945541484,0.0020297683514021027,9482,1484,,1699051026.1565988,10000-5579-18964-001.csv
lb02_11062023,lb,0.0037723376113198434,9.215288599326758e-05,9484,1484,,1699297405.9074757,10000-5581-18968-001.csv
std1485,std,1.1923009984435766,0.00218849850890563,9485,1485,,1699297927.612457,10000-5582-18970-001.csv
RS23_G168_650_fulldegas_7,zirc,62.619963657495745,0.05762004741713473,9486,1485,,1699302589.4531903,10000-5583-18972-001.csv
RS23_G168_650_fulldegas_8,zirc,48.19770437417514,0.06711630163915587,9488,1485,,1699310662.320081,10000-5585-18976-001.csv
RS23_G168_700_fulldegas_9,zirc,66.24013597334259,0.08025581868283722,9490,1485,,1699317073.8068578,10000-5587-18980-001.csv
std1486,std,1.2019105981085147,0.001504256178266988,9492,1486,,1699319313.5233634,10000-5589-18984-001.csv
lb02_11072023,lb,0.003834387808785286,6.583398892003967e-05,9494,1486,,1699377663.6008785,10000-5591-18988-001.csv
std1487,std,1.1941669960373678,0.0021674433923281624,9495,1487,,1699378243.9822414,10000-5592-18990-001.csv
RS23_G168_700_fulldegas_11,zirc,59.82546548495744,0.06866928516339448,9496,1487,,1699386402.203324,10000-5593-18992-001.csv
lb03_11072023,lb,0.0042712988675220375,9.629134374896333e-05,9497,1487,,1699387957.8774319,10000-5594-18994-001.csv
RS23_G168_800_fulldegas_12,zirc,17.069941622109777,0.022994520640853985,9498,1487,,1699392414.7856085,10000-5595-18996-001.csv
RS23_G168_800_fulldegas_13,zirc,9.446023170322608,0.0098406812103108,9499,1487,,1699401903.3066359,10000-5596-18998-001.csv
RS23_G168_800_fulldegas_14,zirc,12.051741330035615,0.01833522230724021,9500,1487,,1699409281.1418252,10000-5597-19000-001.csv
std1488,std,1.2058076669875875,0.0024476785135163393,9501,1488,,1699410444.4625716,10000-5598-19002-001.csv
RS23_G168_850_fulldegas_15,zirc,15.786275089020227,0.018494774233157003,9502,1488,,1699414946.2693908,10000-5599-19004-001.csv
RS23_G168_900_fulldegas_16,zirc,23.15749143322782,0.027084007429272687,9503,1488,,1699420226.5354967,10000-5600-19006-001.csv
std1489,std,1.2090299565983862,0.001637030521128621,9504,1489,,1699421912.537701,10000-5601-19008-001.csv
lb02_11082023,lb,0.003973172020572752,7.581337888000993e-05,9506,1489,,1699458008.358717,10000-5603-19012-001.csv
std1490,std,1.1886416242363036,0.0021578731504836553,9507,1490,,1699458485.5304847,10000-5604-19014-001.csv
RS23_G168_900_fulldegas_17,zirc,10.592882942077079,0.01588302324478575,9508,1490,,1699462993.9481788,10000-5605-19016-001.csv
RS23_G168_1000_fulldegas_18,zirc,8.550065179208959,0.013409711075917015,9509,1490,,1699468401.0182712,10000-5606-19018-001.csv
RS23_G168_1000_fulldegas_19,zirc,0.28127999586861285,0.0007640336306413767,9510,1490,,1699474156.1182353,10000-5607-19020-001.csv
RS23_G168_1000_fulldegas_20,zirc,0.013591906061299949,0.00017485840683014592,9511,1490,,1699479541.9544227,10000-5608-19022-001.csv
std1491,std,1.2011233772576664,0.0020328520129961614,9512,1491,,1699480120.9951773,10000-5609-19024-001.csv
