,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
Z22PR46,,euhedral frosty brown tetragonal prism with no apparent inclusions,12.608831656182002,0.2204087070330411,1.7480502003924894,70.79063751712636,0.8240503154968302,10.392413911055533,0.18121662035106587,1.7437394420779004,10.355772173482153,0.19171795133225852,2.0579451753493334,0.0555491311243953,0,0,0.6075795966617793,0.002183223145541151,1.0609762018595118e-05,976.0607406021161,193.9671381641258,0.0,1021.6430180706857
labFCT19,,"very clear, a few inclusions",26.87204794468486,0.6098771109506681,2.2695594775883032,45.83036522362468,0.7327882887011984,19.704765519434567,0.44373568815960596,2.251920672296024,1.2867789477948897,0.03342665889336889,0.8153535143445111,0.015175631747499748,0,0,0.15738179632955523,0.0008316654408620784,3.827496321402367e-06,336.1933858955149,213.02529013163664,0.0,386.2543290764495
Z22PR46_z2,,euhedral frosty brown tetragonal prism with no apparent inclusions,16.417136743687337,0.27926113752872694,1.7010343635963654,63.15803163644277,0.8025183972073319,13.179169878207748,0.22324962739193388,1.693958188983401,3.9945841640846376,0.07505514544846753,1.8491082758837296,0.03926534346833361,0,0,0.3150837921875771,0.0012914983869865698,1.1128100880934412e-05,358.9636908242351,166.16566435444307,0.0,398.01262194752917
Z22PR46_z3,,eu-subhedral frosty/translucent  tetragonal prism with no apparent inclusions,9.374339926416967,0.13967946253775534,1.490019176114336,58.47484334605211,0.788415367935703,7.392331460426975,0.10973082612679048,1.484387256093797,7.0613638565809635,0.11271477442076004,2.423738147003917,0.04227773287870962,0,0,0.30426831796361936,0.0012483498236252777,6.50776078507699e-06,1085.068134768175,372.43811305446485,0.0,1172.5910913359742
Z22PR46_z4,,eu-subhedral frosty/translucent  tetragonal prism with minor inclusions,14.3009059361561,0.17941465169956625,1.2545684343392765,63.08126476188592,0.8030301564574184,11.487121135082207,0.14365252737442877,1.2505529077751885,7.456855547621026,0.09894078872463694,2.4566740375654628,0.05118783065891153,0,0,0.4979608451674275,0.0018440388211544364,7.649687320299515e-06,974.7922020071613,321.1469874129802,0.0,1050.2617440492118
Z22PR46_z5,,euhedral frosty brown tetragonal prism with no apparent inclusions,14.305813783632088,0.30718785836257023,2.147293841571162,106.82805595694624,0.8812423693587401,12.60885567787732,0.27026977047303646,2.1434916647292126,36.073493529501626,0.8203216701247761,8.3726277934887,0.16752652372355456,0,0,2.587784205306106,0.013609339931879533,3.502776577711058e-05,1029.854252167987,239.02831390290726,0.0,1086.0259059351702
Z22PR33_z1,,euhedral metamict grain with one minor inclusion,38.934522914519114,1.3254214666454038,3.4042319448869875,35.960259692460056,0.6671973071415961,26.00763533518256,0.8827545461461671,3.3942130254033365,0.29001792959461264,0.005328664308787662,0.187182995255987,0.004090612870186623,0,0,0.04695597050927447,0.001411644590378968,1.6604286446634472e-06,174.66449433206236,112.73173096452284,0.0,201.15645110872524
Z22PR33_z2,,eu-subhedral  tetragonal prism with minor inclusions,84.733573835879,1.4895980023801332,1.7579784906338838,36.22747856061668,0.673154450261553,57.17944979900984,0.9991769615146673,1.7474406714769926,0.6805273343027657,0.011845785535299433,0.13681928672862853,0.006644161656434149,0,0,0.2207330532944193,0.0014303441452909503,1.9706092459722335e-06,345.3385473014037,69.4299425460812,0.0,361.6545837997328
Z22PR33_z4,,euhedral grain with minor inclusions,23.569678370805075,0.601518503539933,2.5520861764707514,35.419905924787,0.6635593018290752,15.651622378879228,0.3973378012044321,2.5386365169441585,0.6393309773521012,0.013762981741397605,0.3427363356523584,0.00782616313970467,0,0,0.06083971990853528,0.001051637688424568,1.4249444612114162e-06,448.67080420002765,240.526101179397,0.0,505.19443797718594
labFCT20,,,29.56719048370173,0.42038633883344884,1.4218000829844746,47.46394543882315,0.7419891681389712,21.953955169641823,0.3103585276461298,1.4136793359006996,1.6937093443700222,0.025707399329265277,0.8769338070562753,0.015875180377558407,0,0,0.22532616033843655,0.001152941068685795,4.1745107770333325e-06,405.7264275584593,210.06864130782748,0.0,455.09255826579874
