,aliquot_type,intercept,error,QST,QRT,diff_temp,diff_time,cool_time,notes,time_of_collection,file
std1629,std,1.217759416,0.0014835529999999999,10293,1629,,,,,1720722633.0,10000-6386-20586-001.csv
RS24_G4_215_5,zirc,57.38494382,0.080481782,10294,1629,215.0,3600.0,330.0,,1720727520.0,10000-6387-20588-001.csv
std1630,std,1.2167799240000001,0.0030375520000000002,10296,1630,,,,,1720741352.0,10000-6389-20592-001.csv
lb02_07122024,lb,0.003635849,7.97e-05,10298,1630,,,,,1720812087.0,10000-6391-20596-001.csv
std1631,std,1.216642681,0.0022951860000000003,10299,1631,,,,,1720812627.0,10000-6392-20598-001.csv
RS24_G4_230_5,zirc,69.89182846,0.10936191099999999,10300,1631,230.0,2700.0,312.0,,1720816470.0,10000-6393-20600-001.csv
RS24_G4_250_5,zirc,78.07839132,0.145743054,10301,1631,250.0,1800.0,300.0,,1720824139.0,10000-6394-20602-001.csv
RS24_G4_275_5,zirc,115.4495403,0.11683188300000001,10302,1631,275.0,1800.0,303.0,,1720829124.0,10000-6395-20604-001.csv
RS24_G4_295_5,zirc,134.0576342,0.21641096399999998,10303,1631,295.0,1800.0,315.0,,1720833590.0,10000-6396-20606-001.csv
std1632,std,1.223179228,0.002177645,10304,1632,,,,,1720835660.0,10000-6397-20608-001.csv
lb02_07152024,lb,0.0034868679999999997,7.25e-05,10306,1632,,,,,1721068836.0,10000-6399-20612-001.csv
std1633,std,1.21514196,0.002012674,10307,1633,,,,,1721069330.0,10000-6400-20614-001.csv
RS24_G4_315_5,zirc,129.0212355,0.127781836,10308,1633,315.0,1500.0,290.0,,1721074423.0,10000-6401-20616-001.csv
lb03_07152024,lb,0.00434907,6.6e-05,10309,1633,,,,,1721082505.0,10000-6402-20618-001.csv
RS24_G4_305_6,zirc,85.71538124,0.165062785,10310,1633,305.0,1500.0,285.0,,1721086027.0,10000-6403-20620-001.csv
RS24_G4_280_6,zirc,49.13557981,0.045825812,10311,1633,280.0,1800.0,310.0,,1721093010.0,10000-6404-20622-001.csv
std1634,std,1.2248911120000001,0.0018473970000000002,10312,1634,,,,,1721094573.0,10000-6405-20624-001.csv
lb02_07162024,lb,0.0034097240000000003,5.3e-05,10314,1634,,,,,1721156592.0,10000-6407-20628-001.csv
std1635,std,1.212834698,0.0024211420000000003,10315,1635,,,,,1721157091.0,10000-6408-20630-001.csv
RS24_G4_265_6,zirc,31.45456579,0.046650980999999994,10316,1635,265.0,1800.0,315.0,,1721159919.0,10000-6409-20632-001.csv
RS24_G4_245_6,zirc,22.49746575,0.039807146,10317,1635,245.0,2400.0,307.0,,1721166901.0,10000-6410-20634-001.csv
RS24_G4_225_6,zirc,17.89091609,0.023625641,10318,1635,225.0,3600.0,307.0,,1721172951.0,10000-6411-20636-001.csv
std1636,std,1.211852278,0.002132568,10319,1636,,,,,1721173625.0,10000-6412-20638-001.csv
lb02_07232023,lb,0.003306856,9.570000000000001e-05,10321,1636,,,,,1721762514.0,10000-6414-20642-001.csv
std1637,std,1.20805955,0.001860911,10322,1637,,,,,1721763206.0,10000-6415-20644-001.csv
RS24_G4_205_6,zirc,0.015916929,0.00019459700000000002,10323,1637,205.0,3600.0,373.0,,1721768160.0,10000-6416-20646-001.csv
RS24_G4_180_6,zirc,0.007435855,0.00014678600000000001,10324,1637,180.0,3600.0,396.0,,1721773369.0,10000-6417-20648-001.csv
RS24_G4_250_7,zirc,0.145930575,0.0005700719999999999,10325,1637,250.0,3600.0,315.0,,1721778573.0,10000-6418-20650-001.csv
std1638,std,1.227566828,0.002312577,10326,1638,,,,,1721785093.0,10000-6419-20652-001.csv
lb02_07242024,lb,0.00343149,7.75e-05,10328,1638,,,,,1721845108.0,10000-6421-20656-001.csv
std1639,std,1.209293362,0.001605719,10329,1639,,,,,1721845718.0,10000-6422-20658-001.csv
RS24_G4_225_8,zirc,22.41723895,0.029923527999999998,10330,1639,225.0,5400.0,330.0,,1721852577.0,10000-6423-20660-001.csv
RS24_G4_210_8,zirc,9.868417423,0.011238643999999999,10331,1639,210.0,3600.0,310.0,,1721858179.0,10000-6424-20662-001.csv
std1640,std,1.225588244,0.0030220909999999998,10332,1640,,,,,1721860624.0,10000-6425-20664-001.csv
lb02_07252024,lb,0.0033657390000000004,9.17e-05,10334,1640,,,,,1721935020.0,10000-6427-20668-001.csv
std1641,std,1.2110151690000002,0.002741144,10335,1641,,,,,1721935923.0,10000-6428-20670-001.csv
RS24_G4_195_8,zirc,8.571102755,0.016281301,10336,1641,195.0,5400.0,348.0,,1721943341.0,10000-6429-20672-001.csv
RS24_G4_180_8,zirc,6.721772486,0.008802023,10337,1641,180.0,7200.0,340.0,,1721953334.0,10000-6430-20674-001.csv
std1642,std,1.226393143,0.002704,10338,1642,,,,,1721954470.0,10000-6431-20676-001.csv
lb02_07292024,lb,0.00333328,9.09e-05,10340,1642,,,,,1722288413.0,10000-6433-20680-001.csv
std1643,std,1.216877309,0.001913995,10341,1643,,,,,1722289120.0,10000-6434-20682-001.csv
RS24_G4_165_8,zirc,0.01656513,0.000201289,10342,1643,165.0,9000.0,346.0,,1722299338.0,10000-6435-20684-001.csv
std1644,std,1.221561692,0.002249854,10343,1644,,,,,1722299865.0,10000-6436-20686-001.csv
lb02_07312024,lb,0.00342541,7.64e-05,10345,1644,,,,,1722449016.0,10000-6438-20690-001.csv
std1645,std,1.2108491590000001,0.002031129,10346,1645,,,,,1722450914.0,10000-6439-20692-001.csv
RS24_G4_150_8,zirc,2.475590554,0.0033439259999999997,10347,1645,150.0,10800.0,325.0,,1722462831.0,10000-6440-20694-001.csv
std1646,std,1.228589641,0.002118808,10348,1646,,,,,1722465444.0,10000-6441-20696-001.csv
lb02_03242025,lb,0.003090822,7.49e-05,11514,1874,,,,,1742839662.0,10000-7594-23028-001.csv
std1875,std,1.227124099,0.0015440439999999998,11515,1875,,,,,1742840165.0,10000-7595-23030-001.csv
RS24_G4_200_9,zirc,0.344529166,0.00095977,11516,1875,200.0,3600.0,310.0,,1742844986.0,10000-7596-23032-001.csv
RS24_G4_300_9,zirc,0.465285259,0.0010552489999999999,11517,1875,300.0,3600.0,330.0,,1742849880.0,10000-7597-23034-001.csv
RS24_G4_400_9,zirc,7.802479621,0.009635429000000001,11518,1875,400.0,3600.0,360.0,,1742854841.0,10000-7598-23036-001.csv
std1876,std,1.246491332,0.002419711,11519,1876,,,,,1742855699.0,10000-7599-23038-001.csv
RS24_G4_400-2_9,zirc,7.031769512,0.012396602,11520,1876,400.0,3600.0,330.0,,1742860722.0,10000-7600-23040-001.csv
RS24_G4_350_10,zirc,1.89671144,0.0042526659999999996,11521,1876,350.0,3600.0,320.0,,1742866240.0,10000-7601-23042-001.csv
std1877,std,1.2450781229999999,0.002165454,11522,1877,,,,,1742867044.0,10000-7602-23044-001.csv
lb02_03252025,lb,0.0032484090000000003,9.25e-05,11524,1877,,,,,1742926706.0,10000-7604-23048-001.csv
std1878,std,1.240155406,0.002252624,11525,1878,,,,,1742927205.0,10000-7605-23050-001.csv
RS24_G4_325_10,zirc,1.307614563,0.002128497,11526,1878,325.0,5400.0,310.0,,1742934058.0,10000-7606-23052-001.csv
RS24_G4_305_10,zirc,0.929757485,0.002009245,11527,1878,305.0,7200.0,310.0,,1742942551.0,10000-7607-23054-001.csv
RS24_G4_275_10,zirc,0.476196821,0.001203647,11528,1878,275.0,10800.0,330.0,,1742954652.0,10000-7608-23056-001.csv
std1879,std,1.242741962,0.001496095,11529,1879,,,,,1742955305.0,10000-7609-23058-001.csv
lb02_03262025,lb,0.003159448,9.340000000000001e-05,11531,1879,,,,,1743012393.0,10000-7611-23062-001.csv
std1880,std,1.238361529,0.002275152,11532,1880,,,,,1743012938.0,10000-7612-23064-001.csv
RS24_G4_250_10,zirc,0.249292325,0.000602963,11533,1880,250.0,14400.0,300.0,,1743028623.0,10000-7613-23066-001.csv
std1881,std,1.247131174,0.002638743,11534,1881,,,,,1743029713.0,10000-7614-23068-001.csv
RS24_G4_285_11,zirc,0.6986440740000001,0.001282289,11535,1881,285.0,10800.0,330.0,,1743042100.0,10000-7615-23070-001.csv
std1882,std,1.2464727759999998,0.001757015,11536,1882,,,,,1743042635.0,10000-7616-23072-001.csv
lb02_03272025,lb,0.003295243,7.96e-05,11538,1882,,,,,1743096052.0,10000-7618-23076-001.csv
std1883,std,1.236678826,0.002215563,11539,1883,,,,,1743096894.0,10000-7619-23078-001.csv
RS24_G4_315_11,zirc,1.602683759,0.0023760170000000002,11540,1883,315.0,9000.0,360.0,,1743107364.0,10000-7620-23080-001.csv
RS24_G4_340_11,zirc,2.793531054,0.004011648,11541,1883,340.0,7200.0,360.0,,1743117013.0,10000-7621-23082-001.csv
RS24_G4_365_11,zirc,5.372630256,0.007653861,11542,1883,365.0,7200.0,360.0,,1743126016.0,10000-7622-23084-001.csv
std1884,std,1.242927286,0.002055235,11543,1884,,,,,1743126547.0,10000-7623-23086-001.csv
lb02_03282025,lb,0.003205012,6.8e-05,11545,1884,,,,,1743186899.0,10000-7625-23090-001.csv
std1885,std,1.232419599,0.001734031,11546,1885,,,,,1743187398.0,10000-7626-23092-001.csv
RS24_G4_385_11,zirc,6.238099308,0.008779167,11547,1885,385.0,5400.0,360.0,,1743193918.0,10000-7627-23094-001.csv
RS24_G4_415_11,zirc,8.171684372,0.008866503000000001,11548,1885,415.0,3600.0,360.0,,1743198863.0,10000-7628-23096-001.csv
RS24_G4_440_11,zirc,12.5870674,0.01751446,11549,1885,440.0,3600.0,360.0,,1743204053.0,10000-7629-23098-001.csv
std1886,std,1.250457141,0.001732764,11550,1886,,,,,1743204882.0,10000-7630-23100-001.csv
RS24_G4_470_11,zirc,10.42568823,0.012328799,11551,1886,470.0,1800.0,360.0,,1743207953.0,10000-7631-23102-001.csv
std1889,std,1.2445585890000002,0.002251001,11554,1889,,,,,1743219059.0,10000-7634-23108-001.csv
lb02_03292025,lb,0.003043943,7.79e-05,11556,1889,,,,,1743286500.0,10000-7636-23112-001.csv
std1890,std,1.2275558690000001,0.002610962,11557,1890,,,,,1743287034.0,10000-7637-23114-001.csv
RS24_G4_500_11,zirc,14.926294899999998,0.017718398,11558,1890,500.0,1800.0,360.0,,1743289841.0,10000-7638-23116-001.csv
RS24_G4_550_11,zirc,21.70271728,0.024228476000000002,11559,1890,550.0,1800.0,360.0,,1743293188.0,10000-7639-23118-001.csv
RS24_G4_600_11,zirc,12.4550576,0.016456065,11560,1890,600.0,900.0,300.0,,1743295652.0,10000-7640-23120-001.csv
RS24_G4_700_fulldegas_1,zirc,17.66639472,0.026130047000000003,11561,1890,700.0,900.0,300.0,,1743297999.0,10000-7641-23122-001.csv
RS24_G4_900_fulldegas_2,zirc,0.80586684,0.001763032,11562,1890,900.0,900.0,300.0,,1743300189.0,10000-7642-23124-001.csv
std1891,std,1.242345321121581,0.0020739213909788056,11564,1891,,,,,1743303128.2476985,10000-7644-23128-001.csv
