,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU,U_ng_1s_%,Th_ng_1s_%
NH18-04_Ap3,,,274.92893080695353,9.790612572534325,3.561143072065044,40.8550231630236,0.6394718559581575,178.11219042945024,6.319839252361312,3.5482350967238165,0.02349590258034806,0.0011486217949252854,0.07490309962087781,0.0038643377881406146,0.5753758247917858,0.028771770917102493,0.04073517193258027,0.0003165491811163295,1.967739871150897e-06,11.940553182268811,38.065549577479615,292.40441443881423,20.88595733297652,4.888604687550888,5.15911598812328
NH18-04_Ap4,,,311.0900164386472,14.204211861602651,4.5659491179473415,36.433375012368785,0.6051369809613784,191.70812700267814,8.86848277899593,4.626033813825763,0.01636765289126211,0.0008158941707218934,0.03737614403040025,0.003590835514837854,0.4597759283576799,0.014535860483333277,0.026995768047905617,0.00022023711912439744,1.1502319551604083e-06,14.229871477513871,32.49444067582688,399.7245306000569,21.86606503633319,4.984796391652828,9.607292587264253
NH18-04_Ap5,,,294.9198984668795,4.619791023459624,1.566456196233379,35.142015636792095,0.6052255397354581,180.3575391610401,2.7800644021710355,1.5414184597455245,1.3590519600547917,0.02024434593049804,0.5624952336370493,0.013035550290726705,0.625427455185955,0.015233116818959174,1.4740603170293194,0.011016295911756319,1.2822033713464482e-06,1059.9347891494347,438.6942400926386,487.7755504021102,1163.0279355712048,1.4895932256837234,2.3174507997943157
RS_DUR_7,,,52.49082940051025,1.5117078117623226,2.879946514519406,NaN,1,52.49082940051025,1.5117078117623226,2.879946514519406,0.06518660964465395,0.0016429895879170229,0.671700916571001,0.025371079638522333,0.7412986359361803,0.022831140952808686,0.06393905047746096,0.0005079158352838946,NaN,0,0,0,0,2.5204403126244914,3.7771393506563022
RS21_CCG-2_Ap1,,,182.75930285620865,6.931597124042706,3.7927465336724047,50.06281207091637,0.7060369102024932,129.6778909292126,4.927450516503829,3.799761456016879,0.02531518107088921,0.0010059174280464018,0.03615869046668231,0.0032690754819292263,0.06928184809498696,0.004329283494830049,0.023975797642224395,0.00021861658988933048,3.5891264172087577e-06,7.0532988053891605,10.074510135199615,19.303262142788228,9.42080868716107,3.973573901089495,9.04091226683513
RS21_CCG-2_Ap2,,,33.247689413931084,22.570683715414606,67.8864730550487,45.69661123436615,0.6815362650592964,22.709355970987648,15.800211568957524,69.57578008439823,0.0008062094641790972,0.000322809054115765,0.0010321718513563473,0.0024212444522129133,0.0033425246953372994,0.0015130801980191486,0.00012931843971168163,4.067064756043663e-05,2.4012238538345896e-06,0.3357493983293711,0.4298524061836383,1.3920087833541706,0.4367647137825261,40.04034540136009,234.57764799836633
RS21_CCG-2_Ap3,,,281.48389755665806,13.009259293908864,4.621670868860381,51.29756253863094,0.71042217421352,201.4770505726993,9.350363732921867,4.6409075903897845,0.015355116267446279,0.0007282877425985424,0.029073735798657293,0.003038019686952508,0.0897557969754351,0.004060982746241376,0.024633740614791413,0.000206528970570792,3.5053841640248025e-06,4.380437506688535,8.294022691446033,25.605124224780983,6.329532839178353,4.742964689512341,10.449361265409905
RS21_RVG-1_Ap1,,,214.02524301918424,8.871377927262897,4.145014766537472,36.38141044028491,0.6035607845203401,131.731969998056,5.584067622272301,4.2389615993404695,0.0117361468076806,0.0004994432661881961,0.029627899377908565,0.002566445487011571,0.49482118643424255,0.013928259364742627,0.013865756117794812,0.0001757582026481048,1.6886939485123252e-06,6.949836480446737,17.544860277381588,293.0200507144359,11.072878645631409,4.255598318362383,8.662259359923398
RS21_RVG-1_Ap2,,,221.73913825165607,7.185128838570732,3.240352107085484,38.95804700147827,0.6237061697399268,140.2426966471738,4.543880753359404,3.2400123942218655,0.016406352357589273,0.0007223243178007283,0.05402918680544135,0.0025362116921983377,0.5035539771751155,0.022331089076995242,0.02274587190246435,0.00020652626753417782,1.9291052432873796e-06,8.504643494530804,28.0073816570891,261.02981106256885,15.086378183946742,4.402711230730056,4.694151147103536
RS21_RVG-1_Ap3,,,232.85739400630288,16.81887384527238,7.2228214684980685,42.51018660357134,0.6548905933330582,154.74386570850785,11.432160851706426,7.387795825936823,0.006798643372709807,0.0004616374090869107,0.016120879831609845,0.0027442081408857446,0.2259362819556552,0.010144641125686261,0.009181620951160017,9.643345374498485e-05,2.0248090626307517e-06,3.357671346984494,7.9616790190896545,111.58399383204332,5.228665916470563,6.790140087946855,17.0226946019714
